Model,MAE,RMSE,"< 5 BPM, %","< 10 BPM, %"
Baseline mean,9.908064267631614,13.744594051268024,30.51643192488263,62.441314553990615
ExtraTrees,10.295912189433894,13.434221347928036,22.848200312989047,61.03286384976526
RandomForest,11.416170052405787,14.412142126457582,23.78716744913928,49.45226917057903
HistGradientBoosting,11.4348284482157,14.464499815485889,20.657276995305164,51.01721439749609
