Model,MAE,RMSE,"< 5 BPM, %","< 10 BPM, %"
ExtraTrees,9.698863168315768,12.444067489464041,34.79245283018868,59.62264150943396
Voting ensemble,9.805075247703686,12.665158284165566,35.056603773584904,59.24528301886792
HistGradientBoosting,10.083064435553432,12.975854215064745,33.05660377358491,58.11320754716981
RandomForest,10.375423201087163,13.823130399752456,34.90566037735849,58.56603773584905
Baseline mean,10.612107575614496,13.46372071520985,28.943396226415096,54.11320754716981
