Model,Input,MAE,RMSE,"< 5 BPM, %","< 10 BPM, %"
Baseline mean,Mean HR from training set,9.332490921020508,12.633920067789605,35.83902809415338,67.42596810933941
1D CNN,rPPG and green signal sequences,9.41165542602539,12.665260705384298,35.383447228549734,66.05922551252847
ExtraTrees,rPPG/RGB engineered features,8.08,10.78,40.62,71.83
